Date,Montant Dette,APR,Taux Journalier,Interet Journalier,Interet Cumule,Transaction
2025-03-03,167710693.569574,10.367319%,0.028404%,47622.371511,10449186.325340,
2025-03-04,167759614.588604,10.647009%,0.029170%,48921.019030,10498107.344370,
2025-03-05,167806450.905854,10.190328%,0.027919%,46836.317250,10544943.661620,
2025-03-06,167851956.861584,9.898114%,0.027118%,45505.955730,10590449.617350,
2025-03-07,167896594.148931,9.706536%,0.026593%,44637.287347,10635086.904698,
2025-03-08,167939193.259421,9.260864%,0.025372%,42599.110490,10677686.015187,
2025-03-09,167983575.960300,9.646162%,0.026428%,44382.700879,10722068.716067,
2025-03-10,168027967.079052,9.645442%,0.026426%,44391.118752,10766459.834819,
2025-03-11,168070638.572088,9.269347%,0.025395%,42671.493036,10809131.327855,
2025-03-12,168114586.993829,9.544305%,0.026149%,43948.421741,10853079.749596,
2025-03-13,168158592.060212,9.554108%,0.026176%,44005.066383,10897084.815979,
2025-03-14,168201787.915790,9.375963%,0.025688%,43195.855577,10940280.671556,
2025-03-15,168242078.356964,8.743077%,0.023954%,40290.441175,10980571.112731,
2025-03-16,168281855.733728,8.629674%,0.023643%,39777.376764,11020348.489495,
2025-03-17,168315326.584686,7.259761%,0.019890%,33470.850958,11053819.340452,
2025-03-18,168347247.046454,6.922108%,0.018965%,31920.461768,11085739.802221,
2025-03-19,168382191.925670,7.576531%,0.020758%,34944.879216,11120684.681437,
2025-03-20,168415244.755387,7.164821%,0.019630%,33052.829716,11153737.511153,
2025-03-21,168451728.943158,7.907080%,0.021663%,36484.187771,11190221.698925,
2025-03-22,168490086.111416,8.311204%,0.022770%,38357.168258,11228578.867183,
2025-03-23,168526374.751599,7.861207%,0.021538%,36288.640183,11264867.507366,
2025-03-24,168557526.072265,6.746856%,0.018485%,31151.320665,11296018.828031,
2025-03-25,168593299.799816,7.746560%,0.021223%,35773.727551,11331792.555582,
2025-03-26,168631863.576162,8.348955%,0.022874%,38563.776346,11370356.331928,
2025-03-27,168674793.036354,9.291988%,0.025458%,42929.460192,11413285.792121,
2025-03-28,168708710.285526,7.339446%,0.020108%,33917.249171,11447203.041292,
2025-03-29,168739259.990348,6.609405%,0.018108%,30549.704822,11477752.746114,
2025-03-31,168772926.964140,7.282505%,0.019952%,33666.973793,11511419.719907,
2025-04-01,168806600.655191,7.282505%,0.019952%,33673.691051,11545093.410958,
2025-04-02,168840281.064840,7.282505%,0.019952%,33680.409649,11578773.820606,
2025-04-03,168873968.194427,7.282505%,0.019952%,33687.129587,11612460.950194,
2025-04-04,168907662.045294,7.282505%,0.019952%,33693.850867,11646154.801061,
2025-04-05,168941362.618781,7.282505%,0.019952%,33700.573487,11679855.374548,
2025-04-06,168975069.916230,7.282505%,0.019952%,33707.297449,11713562.671997,
2025-04-07,169008783.938982,7.282505%,0.019952%,33714.022752,11747276.694749,
